"cui","sab","code"
C0005779,HPO,HP:0003256
C0005810,HPO,HP:0032223
C0005874,HPO,HP:0001041
C0005904,HPO,HP:0004370
C0005905,GO,GO:0001659
C0005937,HPO,HP:0012062
C0005939,GO,GO:0060348
C0005956,HPO,HP:0005561
C0005967,HPO,HP:0010622
C0005972,GO,GO:1990523
C0005974,GO,GO:0045453
C0006009,HPO,HP:0006889
C0006012,HPO,HP:0012076
C0006105,HPO,HP:0030049
C0006114,HPO,HP:0002181
C0006118,HPO,HP:0030692
C0006123,HPO,HP:0020161
C0006131,HPO,HP:0009796
C0006157,HPO,HP:0001623
C0006264,HPO,HP:0030077
C0006266,HPO,HP:0025428
C0006267,HPO,HP:0002110
C0006271,HPO,HP:0011950
C0006272,HPO,HP:0011946
C0006277,HPO,HP:0012387
C0006281,HPO,HP:0100730
C0006288,HPO,HP:0010960
C0006288,HPO,HP:0100632
C0006325,HPO,HP:0003763
C0006370,HPO,HP:0100739
C0006384,HPO,HP:0011710
C0006386,HPO,HP:0001822
C0006413,HPO,HP:0030080
C0006444,HPO,HP:0025232
C0006549,GO,GO:0044299
C0006625,HPO,HP:0004326
C0006660,GO,GO:0031214
C0006663,HPO,HP:0003761
C0006664,HPO,HP:0025520
C0006826,HPO,HP:0002664
C0006845,HPO,HP:0002728
C0006905,HPO,HP:0025017
C0007078,HPO,HP:0020084
C0007095,HPO,HP:0100570
C0007097,HPO,HP:0030731
C0007102,HPO,HP:0003003
C0007114,HPO,HP:0008069
C0007120,HPO,HP:0006519
C0007124,HPO,HP:0030075
C0007129,HPO,HP:0030447
C0007131,HPO,HP:0030358
C0007134,HPO,HP:0005584
C0007137,HPO,HP:0002860
C0007193,HPO,HP:0001644
C0007194,HPO,HP:0001639
C0007196,HPO,HP:0001723
C0007222,HPO,HP:0001626
C0007273,HPO,HP:3000041
C0007279,HPO,HP:0030074
C0007282,HPO,HP:0100546
C0007286,HPO,HP:0012185
C0007384,HPO,HP:0002524
C0007570,HPO,HP:0002608
C0007577,GO,GO:0007155
C0007580,GO,GO:0098743
C0007581,GO,GO:0007569
C0007581,GO,GO:0090398
C0007581,GO,GO:0090399
C0007582,GO,GO:0007154
C0007586,GO,GO:0007049
C0007587,GO,GO:0008219
C0007589,GO,GO:0030154
C0007590,GO,GO:0051301
C0007591,GO,GO:0000279
C0007595,GO,GO:0016049
C0007603,GO,GO:0005886
C0007603,GO,GO:0009280
C0007608,GO,GO:0048870
C0007609,GO,GO:0005730
C0007610,GO,GO:0005634
C0007621,GO,GO:0007048
C0007623,GO,GO:0005618
C0007634,GO,GO:0005623
C0007637,GO,GO:0016234
C0007642,HPO,HP:0100658
C0007659,HPO,HP:0012328
C0007682,HPO,HP:0002011
C0007688,HPO,HP:0025342
C0007708,GO,GO:0005814
C0007709,GO,GO:0000775
C0007709,GO,GO:0005698
C0007722,HPO,HP:0012541
C0007758,HPO,HP:0001251
C0007766,HPO,HP:0004944
C0007786,HPO,HP:0002637
C0007787,HPO,HP:0002326
C0007789,HPO,HP:0100021
C0007795,HPO,HP:0006918
C0007815,HPO,HP:0030998
C0007855,HPO,HP:0030159
C0007859,HPO,HP:0030833
C0007860,HPO,HP:0030160
C0007863,HPO,HP:0012318
C0007868,HPO,HP:0032131
C0007869,HPO,HP:0030158
C0007871,HPO,HP:0030009
C0007873,HPO,HP:0030159
C0007873,HPO,HP:0032241
C0007876,HPO,HP:0011410
C0007933,HPO,HP:0010605
C0007971,HPO,HP:0100825
C0008018,GO,GO:0006935
C0008018,GO,GO:0043577
C0008019,GO,GO:0030595
C0008031,HPO,HP:0100749
C0008039,HPO,HP:0012196
C0008058,HPO,HP:0009710
C0008266,GO,GO:0009507
C0008297,HPO,HP:0000453
C0008311,HPO,HP:0030151
C0008312,HPO,HP:0002613
C0008313,HPO,HP:0030991
C0008325,HPO,HP:0001082
C0008340,HPO,HP:0100890
C0008350,HPO,HP:0001081
C0008370,HPO,HP:0001396
C0008372,HPO,HP:0001406
C0008373,HPO,HP:0009797
C0008441,HPO,HP:0030432
C0008479,HPO,HP:0006765
C0008487,HPO,HP:0010762
C0008489,HPO,HP:0002072
C0008497,HPO,HP:0100768
C0008503,GO,GO:0042600
C0008512,HPO,HP:0007777
C0008513,HPO,HP:0012424
C0008519,HPO,HP:0002282
C0008521,HPO,HP:0000610
C0008522,HPO,HP:0011887
C0008525,HPO,HP:0001139
C0008526,HPO,HP:0012123
C0008537,GO,GO:0042583
C0008545,GO,GO:0005694
C0008545,GO,GO:0005695
C0008633,GO,GO:0005694
C0008677,HPO,HP:0004469
C0008711,HPO,HP:0002257
C0008732,HPO,HP:0012281
C0008733,HPO,HP:0010310
C0008767,HPO,HP:0100699
C0008778,GO,GO:0005929
C0008778,GO,GO:0031514
C0008780,HPO,HP:0012265
C0008810,GO,GO:0007623
C0008858,GO,GO:0006099
C0008909,HPO,HP:0025253
C0008924,HPO,HP:0000204
C0009024,HPO,HP:0002169
C0009080,HPO,HP:0100759
C0009081,HPO,HP:0001762
C0009088,HPO,HP:0012199
C0009186,HPO,HP:0032249
C0009240,GO,GO:0050890
C0009319,HPO,HP:0002583
C0009324,HPO,HP:0100279
C0009363,HPO,HP:0000589
C0009375,HPO,HP:0100273
C0009398,HPO,HP:0000551
C0009404,HPO,HP:0100834
C0009421,HPO,HP:0001259
C0009451,HPO,HP:0001334
C0009528,GO,GO:0006956
C0009546,GO,GO:0006957
C0009649,GO,GO:0008306
C0009651,GO,GO:0035106
C0009663,HPO,HP:0032301
C0009676,HPO,HP:0001289
C0009681,HPO,HP:0004414
C0009691,HPO,HP:0000519
C0009714,HPO,HP:0002612
C0009763,HPO,HP:0000509
C0009766,HPO,HP:0007879
C0009806,HPO,HP:0002019
C0009812,HPO,HP:0025142
C0009835,GO,GO:0060242
C0009917,HPO,HP:0001371
C0009918,HPO,HP:0001371
C0009952,HPO,HP:0002373
C0009964,GO,GO:0035176
C0009990,GO,GO:0007620
C0009995,HPO,HP:0010774
C0010036,HPO,HP:0001131
C0010038,HPO,HP:0007957
C0010043,HPO,HP:0012804
C0010051,HPO,HP:0030882
C0010054,HPO,HP:0001677
C0010054,HPO,HP:0004929
C0010073,HPO,HP:0025497
C0010096,GO,GO:0001554
C0010200,HPO,HP:0012735
C0010273,HPO,HP:0004439
C0010276,HPO,HP:0030062
C0010278,HPO,HP:0001363
C0010278,HPO,HP:0005458
C0010308,HPO,HP:0000851
C0010346,HPO,HP:0100280
C0010403,HPO,HP:0100778
C0010417,HPO,HP:0000028
C0010481,HPO,HP:0003118
C0010495,HPO,HP:0000973
C0010520,HPO,HP:0000961
C0010668,HPO,HP:0010959
C0010691,HPO,HP:0003131
C0010692,HPO,HP:0100577
